"reference","duplicated"
243,337
244,338
245,339
246,340
247,341
248,342
249,343
250,344
251,345
252,346
253,347
254,348
255,349
256,350
257,351
258,352
259,353
260,354
261,355
262,356
263,357
264,358
265,359
266,360
267,361
268,362
269,363
270,364
271,365
272,366
273,367
274,368
275,369
276,370
277,371
278,372
279,373
280,374
281,375
282,376
283,377
284,378
285,379
286,380
287,381
288,382
289,383
290,384
291,385
292,386
293,387
294,388
295,389
296,390
297,391
298,392
299,393
300,394
301,395
302,396
303,397
304,398
305,399
306,400
307,401
308,402
309,403
310,404
311,405
312,406
313,407
314,408
315,409
316,410
317,411
318,412
319,413
320,414
321,415
322,416
323,417
324,418
325,419
326,420
327,421
328,422
329,423
330,424
331,425
332,426
333,427
334,428
335,429
336,430
